4 donors    8 donors    16 donors   24 donors
HG00128 A   HG00100 HG00237 HG00237 HG00128
HG00096 A   HG00117 HG00105 HG00105 HG00096
HG00142 A   HG00239 HG00118 HG00118 HG00142
HG00143 A   HG00156 HG00130 HG00130 HG00143
HG00237 B       HG00155 HG00155 HG00237
HG00105 B       HG00238 HG00238 HG00105
HG00118 B       HG00141 HG00141 HG00118
HG00130 B       HG00262 HG00262 HG00130
HG00155 C           HG00100 HG00155
HG00238 C           HG00117 HG00238
HG00141 C           HG00239 HG00141
HG00262 C           HG00156 HG00262
HG00154 D           HG00106 HG00154
HG00098 D           HG00116 HG00098
HG00263 D           HG00255 HG00263
HG00107 D           HG00129 HG00107
HG00100 E               HG00100
HG00117 E               HG00117
HG00239 E               HG00239
HG00156 E               HG00156
HG00106 F               HG00106
HG00116 F               HG00116
HG00255 F               HG00255
HG00129 F               HG00129
